stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
iid,3000,4,00,28,3000,2997,78,140,true,2919,78/2997
iid,3000,4,01,28,3000,2997,83,140,true,2914,83/2997
iid,3000,4,11,27,3000,2997,71,135,true,2926,71/2997
iid,3000,4,000,3,3000,2997,6,15,true,2991,6/2997
iid,3000,4,001,4,3000,2997,8,20,true,2989,8/2997
iid,3000,4,012,2,3000,2997,4,10,true,2993,4/2997
iid,3000,4,123,6,3000,2997,12,30,true,2985,12/2997
iid,3000,4,0000,0,3000,2997,0,0,true,2997,0/2997
iid,3000,4,0123,0,3000,2997,0,0,true,2997,0/2997
iid,3000,8,0,280,3000,2993,1577,2520,true,1416,1577/2993
iid,3000,8,1,308,3000,2993,1732,2772,true,1261,1732/2993
iid,3000,8,00,28,3000,2993,174,252,true,2819,174/2993
iid,3000,8,01,28,3000,2993,191,252,true,2802,191/2993
iid,3000,8,11,27,3000,2993,156,243,true,2837,156/2993
iid,3000,8,000,3,3000,2993,18,27,true,2975,18/2993
iid,3000,8,001,4,3000,2993,24,36,true,2969,24/2993
iid,3000,8,012,2,3000,2993,12,18,true,2981,12/2993
iid,3000,8,123,6,3000,2993,36,54,true,2957,36/2993
iid,3000,8,0000,0,3000,2993,0,0,true,2993,0/2993
iid,3000,8,0123,0,3000,2993,0,0,true,2993,0/2993
iid,3000,16,0,280,3000,2985,2339,4760,true,646,2339/2985
iid,3000,16,1,308,3000,2985,2384,5236,true,601,2384/2985
iid,3000,16,00,28,3000,2985,355,476,true,2630,355/2985
iid,3000,16,01,28,3000,2985,402,476,true,2583,402/2985
iid,3000,16,11,27,3000,2985,324,459,true,2661,324/2985
iid,3000,16,000,3,3000,2985,42,51,true,2943,42/2985
iid,3000,16,001,4,3000,2985,56,68,true,2929,56/2985
iid,3000,16,012,2,3000,2985,28,34,true,2957,28/2985
iid,3000,16,123,6,3000,2985,84,102,true,2901,84/2985
iid,3000,16,0000,0,3000,2985,0,0,true,2985,0/2985
iid,3000,16,0123,0,3000,2985,0,0,true,2985,0/2985
iid,3000,32,0,280,3000,2969,2834,9240,true,135,2834/2969
iid,3000,32,1,308,3000,2969,2808,10164,true,161,2808/2969
iid,3000,32,00,28,3000,2969,687,924,true,2282,687/2969
iid,3000,32,01,28,3000,2969,776,924,true,2193,776/2969
iid,3000,32,11,27,3000,2969,606,891,true,2363,606/2969
iid,3000,32,000,3,3000,2969,90,99,true,2879,90/2969
iid,3000,32,001,4,3000,2969,120,132,true,2849,120/2969
iid,3000,32,012,2,3000,2969,60,66,true,2909,60/2969
iid,3000,32,123,6,3000,2969,180,198,true,2789,180/2969
iid,3000,32,0000,0,3000,2969,0,0,true,2969,0/2969
iid,3000,32,0123,0,3000,2969,0,0,true,2969,0/2969
iid,10000,1,0,994,10000,10000,994,1988,true,9006,994/10000
iid,10000,1,1,980,10000,10000,980,1960,true,9020,980/10000
iid,10000,1,00,114,10000,10000,0,228,true,10000,0/10000
iid,10000,1,01,93,10000,10000,0,186,true,10000,0/10000
iid,10000,1,11,91,10000,10000,0,182,true,10000,0/10000
iid,10000,1,000,11,10000,10000,0,22,true,10000,0/10000
iid,10000,1,001,16,10000,10000,0,32,true,10000,0/10000
iid,10000,1,012,5,10000,10000,0,10,true,10000,0/10000
iid,10000,1,123,13,10000,10000,0,26,true,10000,0/10000
iid,10000,1,0000,0,10000,10000,0,0,true,10000,0/10000
iid,10000,1,0123,0,10000,10000,0,0,true,10000,0/10000
iid,10000,2,0,994,10000,9999,1874,2982,true,8125,1874/9999
iid,10000,2,1,980,10000,9999,1869,2940,true,8130,1869/9999
iid,10000,2,00,114,10000,9999,114,342,true,9885,114/9999
iid,10000,2,01,93,10000,9999,93,279,true,9906,93/9999
iid,10000,2,11,91,10000,9999,91,273,true,9908,91/9999
iid,10000,2,000,11,10000,9999,0,33,true,9999,0/9999
iid,10000,2,001,16,10000,9999,0,48,true,9999,0/9999
iid,10000,2,012,5,10000,9999,0,15,true,9999,0/9999
iid,10000,2,123,13,10000,9999,0,39,true,9999,0/9999
iid,10000,2,0000,0,10000,9999,0,0,true,9999,0/9999
iid,10000,2,0123,0,10000,9999,0,0,true,9999,0/9999
iid,10000,4,0,994,10000,9997,3360,4970,true,6637,3360/9997
iid,10000,4,1,980,10000,9997,3387,4900,true,6610,3387/9997
iid,10000,4,00,114,10000,9997,320,570,true,9677,320/9997
iid,10000,4,01,93,10000,9997,277,465,true,9720,277/9997
iid,10000,4,11,91,10000,9997,257,455,true,9740,257/9997
iid,10000,4,000,11,10000,9997,22,55,true,9975,22/9997
iid,10000,4,001,16,10000,9997,32,80,true,9965,32/9997
iid,10000,4,012,5,10000,9997,10,25,true,9987,10/9997
iid,10000,4,123,13,10000,9997,26,65,true,9971,26/9997
iid,10000,4,0000,0,10000,9997,0,0,true,9997,0/9997
iid,10000,4,0123,0,10000,9997,0,0,true,9997,0/9997
iid,10000,8,0,994,10000,9993,5529,8946,true,4464,5529/9993
iid,10000,8,1,980,10000,9993,5603,8820,true,4390,5603/9993
iid,10000,8,00,114,10000,9993,723,1026,true,9270,723/9993
iid,10000,8,01,93,10000,9993,630,837,true,9363,630/9993
iid,10000,8,11,91,10000,9993,576,819,true,9417,576/9993
iid,10000,8,000,11,10000,9993,66,99,true,9927,66/9993
iid,10000,8,001,16,10000,9993,96,144,true,9897,96/9993
iid,10000,8,012,5,10000,9993,30,45,true,9963,30/9993
iid,10000,8,123,13,10000,9993,78,117,true,9915,78/9993
iid,10000,8,0000,0,10000,9993,0,0,true,9993,0/9993
iid,10000,8,0123,0,10000,9993,0,0,true,9993,0/9993
iid,10000,16,0,994,10000,9985,7977,16898,true,2008,7977/9985
iid,10000,16,1,980,10000,9985,8058,16660,true,1927,8058/9985
iid,10000,16,00,114,10000,9985,1469,1938,true,8516,1469/9985
iid,10000,16,01,93,10000,9985,1303,1581,true,8682,1303/9985
iid,10000,16,11,91,10000,9985,1183,1547,true,8802,1183/9985
iid,10000,16,000,11,10000,9985,154,187,true,9831,154/9985
iid,10000,16,001,16,10000,9985,224,272,true,9761,224/9985
iid,10000,16,012,5,10000,9985,70,85,true,9915,70/9985
iid,10000,16,123,13,10000,9985,182,221,true,9803,182/9985
iid,10000,16,0000,0,10000,9985,0,0,true,9985,0/9985
iid,10000,16,0123,0,10000,9985,0,0,true,9985,0/9985
iid,10000,32,0,994,10000,9969,9531,32802,true,438,9531/9969
iid,10000,32,1,980,10000,9969,9594,32340,true,375,9594/9969
iid,10000,32,00,114,10000,9969,2833,3762,true,7136,2833/9969
iid,10000,32,01,93,10000,9969,2546,3069,true,7423,2546/9969
iid,10000,32,11,91,10000,9969,2230,3003,true,7739,2230/9969
iid,10000,32,000,11,10000,9969,330,363,true,9639,330/9969
iid,10000,32,001,16,10000,9969,480,528,true,9489,480/9969
iid,10000,32,012,5,10000,9969,150,165,true,9819,150/9969
iid,10000,32,123,13,10000,9969,390,429,true,9579,390/9969
iid,10000,32,0000,0,10000,9969,0,0,true,9969,0/9969
iid,10000,32,0123,0,10000,9969,0,0,true,9969,0/9969
champernowne,1000,1,0,66,1000,1000,66,132,true,934,66/1000
champernowne,1000,1,1,177,1000,1000,177,354,true,823,177/1000
champernowne,1000,1,00,3,1000,1000,0,6,true,1000,0/1000
champernowne,1000,1,01,14,1000,1000,0,28,true,1000,0/1000
champernowne,1000,1,11,25,1000,1000,0,50,true,1000,0/1000
champernowne,1000,1,000,0,1000,1000,0,0,true,1000,0/1000
champernowne,1000,1,001,1,1000,1000,0,2,true,1000,0/1000
champernowne,1000,1,012,2,1000,1000,0,4,true,1000,0/1000
champernowne,1000,1,123,4,1000,1000,0,8,true,1000,0/1000
champernowne,1000,1,0000,0,1000,1000,0,0,true,1000,0/1000
champernowne,1000,1,0123,0,1000,1000,0,0,true,1000,0/1000
champernowne,1000,2,0,66,1000,999,129,198,true,870,129/999
champernowne,1000,2,1,177,1000,999,328,531,true,671,328/999
champernowne,1000,2,00,3,1000,999,3,9,true,996,3/999
champernowne,1000,2,01,14,1000,999,14,42,true,985,14/999
champernowne,1000,2,11,25,1000,999,25,75,true,974,25/999
champernowne,1000,2,000,0,1000,999,0,0,true,999,0/999
champernowne,1000,2,001,1,1000,999,0,3,true,999,0/999
champernowne,1000,2,012,2,1000,999,0,6,true,999,0/999
champernowne,1000,2,123,4,1000,999,0,12,true,999,0/999
champernowne,1000,2,0000,0,1000,999,0,0,true,999,0/999
champernowne,1000,2,0123,0,1000,999,0,0,true,999,0/999
champernowne,1000,4,0,66,1000,997,225,330,true,772,225/997
champernowne,1000,4,1,177,1000,997,478,885,true,519,478/997
champernowne,1000,4,00,3,1000,997,9,15,true,988,9/997
champernowne,1000,4,01,14,1000,997,41,70,true,956,41/997
champernowne,1000,4,11,25,1000,997,67,125,true,930,67/997
champernowne,1000,4,000,0,1000,997,0,0,true,997,0/997
champernowne,1000,4,001,1,1000,997,2,5,true,995,2/997
champernowne,1000,4,012,2,1000,997,4,10,true,993,4/997
